キー,建物用途,室用途,年間照明点灯時間
O-1,事務所等,事務室,3133
O-2,事務所等,電子計算機器事務室,3133
O-3,事務所等,会議室,2169
O-4,事務所等,喫茶室,2169
O-5,事務所等,社員食堂,723
O-6,事務所等,中央監視室,8760
O-7,事務所等,更衣室又は倉庫,3133
O-8,事務所等,廊下,3133
O-9,事務所等,ロビー,3133
O-10,事務所等,便所,3133
O-11,事務所等,喫煙室,3133
O-12,事務所等,厨房,2000
O-13,事務所等,屋内駐車場,3500
O-14,事務所等,機械室,200
O-15,事務所等,電気室,200
O-16,事務所等,湯沸室等,1000
O-17,事務所等,食品庫等,1000
O-18,事務所等,印刷室等,1000
O-19,事務所等,廃棄物保管場所等,1000
H-1,ホテル等,客室,2920
H-2,ホテル等,客室内の浴室等,2920
H-3,ホテル等,終日利用されるフロント,8760
H-4,ホテル等,終日利用される事務室,8760
H-5,ホテル等,終日利用される廊下,8760
H-6,ホテル等,終日利用されるロビー,8760
H-7,ホテル等,終日利用される共用部の便所,8760
H-8,ホテル等,終日利用される喫煙室,8760
H-9,ホテル等,宴会場,4380
H-10,ホテル等,会議室,4380
H-11,ホテル等,結婚式場,4380
H-12,ホテル等,レストラン,4745
H-13,ホテル等,ラウンジ,5110
H-14,ホテル等,バー,2190
H-15,ホテル等,店舗,3650
H-16,ホテル等,社員食堂,5110
H-17,ホテル等,更衣室又は倉庫,8760
H-18,ホテル等,日中のみ利用されるフロント,4745
H-19,ホテル等,日中のみ利用される事務室,5475
H-20,ホテル等,日中のみ利用される廊下,4745
H-21,ホテル等,日中のみ利用されるロビー,4745
H-22,ホテル等,日中のみ利用される共用部の便所,4745
H-23,ホテル等,日中のみ利用される喫煙室,4745
H-24,ホテル等,厨房,3200
H-25,ホテル等,屋内駐車場,8760
H-26,ホテル等,機械室,320
H-27,ホテル等,電気室,320
H-28,ホテル等,湯沸室等,1600
H-29,ホテル等,食品庫等,1600
H-30,ホテル等,印刷室等,1600
H-31,ホテル等,廃棄物保管場所等,1600
D-1,病院等,病室,5110
D-2,病院等,浴室等,5110
D-3,病院等,看護職員室,5110
D-4,病院等,終日利用される廊下,8760
D-5,病院等,終日利用されるロビー,8760
D-6,病院等,終日利用される共用部の便所,8760
D-7,病院等,終日利用される喫煙室,8760
D-8,病院等,診察室,2818
D-9,病院等,待合室,2818
D-10,病院等,手術室,2920
D-11,病院等,検査室,2920
D-12,病院等,集中治療室,8760
D-13,病院等,解剖室等,2628
D-14,病院等,レストラン,4380
D-15,病院等,事務室,2628
D-16,病院等,更衣室又は倉庫,2628
D-17,病院等,日中のみ利用される廊下,2920
D-18,病院等,日中のみ利用されるロビー,2920
D-19,病院等,日中のみ利用される共用部の便所,2920
D-20,病院等,日中のみ利用される喫煙室,2920
D-21,病院等,厨房,5500
D-22,病院等,屋内駐車場,8760
D-23,病院等,機械室,550
D-24,病院等,電気室,550
D-25,病院等,湯沸室等,2800
D-26,病院等,食品庫等,2800
D-27,病院等,印刷室等,2800
D-28,病院等,廃棄物保管場所等,2800
S-1,物品販売業を営む店舗等,大型店の売場,4745
S-2,物品販売業を営む店舗等,専門店の売場,4745
S-3,物品販売業を営む店舗等,スーパーマーケットの売場,4745
S-4,物品販売業を営む店舗等,荷さばき場,2920
S-5,物品販売業を営む店舗等,事務室,4745
S-6,物品販売業を営む店舗等,更衣室又は倉庫,4745
S-7,物品販売業を営む店舗等,ロビー,4745
S-8,物品販売業を営む店舗等,便所,4745
S-9,物品販売業を営む店舗等,喫煙室,4745
S-10,物品販売業を営む店舗等,厨房,3400
S-11,物品販売業を営む店舗等,屋内駐車場,5500
S-12,物品販売業を営む店舗等,機械室,340
S-13,物品販売業を営む店舗等,電気室,340
S-14,物品販売業を営む店舗等,湯沸室等,1700
S-15,物品販売業を営む店舗等,食品庫等,1700
S-16,物品販売業を営む店舗等,印刷室等,1700
S-17,物品販売業を営む店舗等,廃棄物保管場所等,1700
E-1,学校等,小中学校の教室,1568
E-2,学校等,高等学校の教室,1568
E-3,学校等,職員室,3590
E-4,学校等,小中学校又は高等学校の食堂,588
E-5,学校等,大学の教室,1630
E-6,学校等,大学の食堂,3132
E-7,学校等,事務室,2410
E-8,学校等,研究室,3504
E-9,学校等,電子計算機器演習室,1928
E-10,学校等,実験室,1928
E-11,学校等,実習室,1928
E-12,学校等,講堂又は体育館,723
E-13,学校等,宿直室,2920
E-14,学校等,更衣室又は倉庫,2410
E-15,学校等,廊下,2410
E-16,学校等,ロビー,2410
E-17,学校等,便所,2410
E-18,学校等,喫煙室,2410
E-19,学校等,厨房,1200
E-20,学校等,屋内駐車場,3000
E-21,学校等,機械室,120
E-22,学校等,電気室,120
E-23,学校等,湯沸室等,600
E-24,学校等,食品庫等,600
E-25,学校等,印刷室等,600
E-26,学校等,廃棄物保管場所等,600
R-1,飲食店等,レストランの客室,4745
R-2,飲食店等,軽食店の客室,4745
R-3,飲食店等,喫茶店の客室,5475
R-4,飲食店等,バー,1752
R-5,飲食店等,フロント,4745
R-6,飲食店等,事務室,4745
R-7,飲食店等,更衣室又は倉庫,4745
R-8,飲食店等,廊下,4745
R-9,飲食店等,ロビー,4745
R-10,飲食店等,便所,4745
R-11,飲食店等,喫煙室,4745
R-12,飲食店等,厨房,3400
R-13,飲食店等,屋内駐車場,5000
R-14,飲食店等,機械室,340
R-15,飲食店等,電気室,340
R-16,飲食店等,湯沸室等,1700
R-17,飲食店等,食品庫等,1700
R-18,飲食店等,印刷室等,1700
R-19,飲食店等,廃棄物保管場所等,1700
M-1,集会所等,アスレチック場の運動室,3991
M-2,集会所等,アスレチック場のロビー,3991
M-3,集会所等,アスレチック場の便所,3991
M-4,集会所等,アスレチック場の喫煙室,3991
M-5,集会所等,公式競技用スケート場,4164
M-6,集会所等,公式競技用体育館,4164
M-7,集会所等,一般競技用スケート場,4164
M-8,集会所等,一般競技用体育館,4164
M-9,集会所等,レクリエーション用スケート場,4164
M-10,集会所等,レクリエーション用体育館,4164
M-11,集会所等,競技場の客席,4164
M-12,集会所等,競技場のロビー,4164
M-13,集会所等,競技場の便所,4164
M-14,集会所等,競技場の喫煙室,4164
M-15,集会所等,公衆浴場の浴室,5110
M-16,集会所等,公衆浴場の脱衣所,5110
M-17,集会所等,公衆浴場の休憩室,5110
M-18,集会所等,公衆浴場のロビー,5110
M-19,集会所等,公衆浴場の便所,5110
M-20,集会所等,公衆浴場の喫煙室,5110
M-21,集会所等,映画館の客席,1095
M-22,集会所等,映画館のロビー,5475
M-23,集会所等,映画館の便所,5475
M-24,集会所等,映画館の喫煙室,5475
M-25,集会所等,図書館の図書室,3070
M-26,集会所等,図書館のロビー,3070
M-27,集会所等,図書館の便所,3070
M-28,集会所等,図書館の喫煙室,3070
M-29,集会所等,博物館の展示室,2456
M-30,集会所等,博物館のロビー,2456
M-31,集会所等,博物館の便所,2456
M-32,集会所等,博物館の喫煙室,2456
M-33,集会所等,劇場の楽屋,2510
M-34,集会所等,劇場の舞台,2259
M-35,集会所等,劇場の客席,2259
M-36,集会所等,劇場のロビー,2259
M-37,集会所等,劇場の便所,2259
M-38,集会所等,劇場の喫煙室,2259
M-39,集会所等,カラオケボックス,8760
M-41,集会所等,ボーリング場,5110
M-42,集会所等,ぱちんこ屋,4745
M-43,集会所等,競馬場又は競輪場の客席,2776
M-44,集会所等,競馬場又は競輪場の券売場,2776
M-45,集会所等,競馬場又は競輪場の店舗,2776
M-46,集会所等,競馬場又は競輪場のロビー,2776
M-47,集会所等,競馬場又は競輪場の便所,2776
M-48,集会所等,競馬場又は競輪場の喫煙室,2776
M-49,集会所等,社寺の本殿,2510
M-50,集会所等,社寺のロビー,2510
M-51,集会所等,社寺の便所,2510
M-52,集会所等,社寺の喫煙室,2510
M-53,集会所等,厨房,4000
M-54,集会所等,屋内駐車場,4000
M-55,集会所等,機械室,400
M-56,集会所等,電気室,400
M-57,集会所等,湯沸室等,2000
M-58,集会所等,食品庫等,2000
M-59,集会所等,印刷室等,2000
M-60,集会所等,廃棄物保管場所等,2000
F-1,工場等,倉庫,3000
F-2,工場等,屋外駐車場又は駐輪場,3000
A-1,共同住宅,屋内廊下,8760
A-2,共同住宅,ロビー,8760
A-3,共同住宅,管理人室,2322
A-4,共同住宅,集会室,1066
A-5,共同住宅,屋外廊下,4380
A-6,共同住宅,屋内駐車場,8760
A-7,共同住宅,機械室,200
A-8,共同住宅,電気室,200
A-9,共同住宅,廃棄物保管場所等,8760
C-1,共通,非空調室,0
