キー,建物用途,室用途,カレンダーパターン
O-1,事務所等,事務室,A
O-2,事務所等,電子計算機器事務室,A
O-3,事務所等,会議室,A
O-4,事務所等,喫茶室,A
O-5,事務所等,社員食堂,A
O-6,事務所等,中央監視室,A
O-7,事務所等,更衣室又は倉庫,A
O-8,事務所等,廊下,A
O-9,事務所等,ロビー,A
O-10,事務所等,便所,A
O-11,事務所等,喫煙室,A
O-12,事務所等,厨房,A
O-13,事務所等,屋内駐車場,A
O-14,事務所等,機械室,A
O-15,事務所等,電気室,A
O-16,事務所等,湯沸室等,A
O-17,事務所等,食品庫等,A
O-18,事務所等,印刷室等,A
O-19,事務所等,廃棄物保管場所等,A
H-1,ホテル等,客室,A
H-2,ホテル等,客室内の浴室等,A
H-3,ホテル等,終日利用されるフロント,A
H-4,ホテル等,終日利用される事務室,A
H-5,ホテル等,終日利用される廊下,A
H-6,ホテル等,終日利用されるロビー,A
H-7,ホテル等,終日利用される共用部の便所,A
H-8,ホテル等,終日利用される喫煙室,A
H-9,ホテル等,宴会場,A
H-10,ホテル等,会議室,A
H-11,ホテル等,結婚式場,A
H-12,ホテル等,レストラン,A
H-13,ホテル等,ラウンジ,A
H-14,ホテル等,バー,A
H-15,ホテル等,店舗,A
H-16,ホテル等,社員食堂,A
H-17,ホテル等,更衣室又は倉庫,A
H-18,ホテル等,日中のみ利用されるフロント,A
H-19,ホテル等,日中のみ利用される事務室,A
H-20,ホテル等,日中のみ利用される廊下,A
H-21,ホテル等,日中のみ利用されるロビー,A
H-22,ホテル等,日中のみ利用される共用部の便所,A
H-23,ホテル等,日中のみ利用される喫煙室,A
H-24,ホテル等,厨房,A
H-25,ホテル等,屋内駐車場,A
H-26,ホテル等,機械室,A
H-27,ホテル等,電気室,A
H-28,ホテル等,湯沸室等,A
H-29,ホテル等,食品庫等,A
H-30,ホテル等,印刷室等,A
H-31,ホテル等,廃棄物保管場所等,A
D-1,病院等,病室,A
D-2,病院等,浴室等,A
D-3,病院等,看護職員室,A
D-4,病院等,終日利用される廊下,A
D-5,病院等,終日利用されるロビー,A
D-6,病院等,終日利用される共用部の便所,A
D-7,病院等,終日利用される喫煙室,A
D-8,病院等,診察室,A
D-9,病院等,待合室,A
D-10,病院等,手術室,A
D-11,病院等,検査室,A
D-12,病院等,集中治療室,A
D-13,病院等,解剖室等,A
D-14,病院等,レストラン,A
D-15,病院等,事務室,A
D-16,病院等,更衣室又は倉庫,A
D-17,病院等,日中のみ利用される廊下,A
D-18,病院等,日中のみ利用されるロビー,A
D-19,病院等,日中のみ利用される共用部の便所,A
D-20,病院等,日中のみ利用される喫煙室,A
D-21,病院等,厨房,A
D-22,病院等,屋内駐車場,A
D-23,病院等,機械室,A
D-24,病院等,電気室,A
D-25,病院等,湯沸室等,A
D-26,病院等,食品庫等,A
D-27,病院等,印刷室等,A
D-28,病院等,廃棄物保管場所等,A
S-1,物品販売業を営む店舗等,大型店の売場,A
S-2,物品販売業を営む店舗等,専門店の売場,A
S-3,物品販売業を営む店舗等,スーパーマーケットの売場,A
S-4,物品販売業を営む店舗等,荷さばき場,A
S-5,物品販売業を営む店舗等,事務室,A
S-6,物品販売業を営む店舗等,更衣室又は倉庫,A
S-7,物品販売業を営む店舗等,ロビー,A
S-8,物品販売業を営む店舗等,便所,A
S-9,物品販売業を営む店舗等,喫煙室,A
S-10,物品販売業を営む店舗等,厨房,A
S-11,物品販売業を営む店舗等,屋内駐車場,A
S-12,物品販売業を営む店舗等,機械室,A
S-13,物品販売業を営む店舗等,電気室,A
S-14,物品販売業を営む店舗等,湯沸室等,A
S-15,物品販売業を営む店舗等,食品庫等,A
S-16,物品販売業を営む店舗等,印刷室等,A
S-17,物品販売業を営む店舗等,廃棄物保管場所等,A
E-1,学校等,小中学校の教室,B
E-2,学校等,高等学校の教室,B
E-3,学校等,職員室,B
E-4,学校等,小中学校又は高等学校の食堂,B
E-5,学校等,大学の教室,C
E-6,学校等,大学の食堂,C
E-7,学校等,事務室,A
E-8,学校等,研究室,A
E-9,学校等,電子計算機器演習室,A
E-10,学校等,実験室,A
E-11,学校等,実習室,A
E-12,学校等,講堂又は体育館,A
E-13,学校等,宿直室,A
E-14,学校等,更衣室又は倉庫,A
E-15,学校等,廊下,A
E-16,学校等,ロビー,A
E-17,学校等,便所,A
E-18,学校等,喫煙室,A
E-19,学校等,厨房,A
E-20,学校等,屋内駐車場,A
E-21,学校等,機械室,A
E-22,学校等,電気室,A
E-23,学校等,湯沸室等,A
E-24,学校等,食品庫等,A
E-25,学校等,印刷室等,A
E-26,学校等,廃棄物保管場所等,A
R-1,飲食店等,レストランの客室,A
R-2,飲食店等,軽食店の客室,A
R-3,飲食店等,喫茶店の客室,A
R-4,飲食店等,バー,A
R-5,飲食店等,フロント,A
R-6,飲食店等,事務室,A
R-7,飲食店等,更衣室又は倉庫,A
R-8,飲食店等,廊下,A
R-9,飲食店等,ロビー,A
R-10,飲食店等,便所,A
R-11,飲食店等,喫煙室,A
R-12,飲食店等,厨房,A
R-13,飲食店等,屋内駐車場,A
R-14,飲食店等,機械室,A
R-15,飲食店等,電気室,A
R-16,飲食店等,湯沸室等,A
R-17,飲食店等,食品庫等,A
R-18,飲食店等,印刷室等,A
R-19,飲食店等,廃棄物保管場所等,A
M-1,集会所等,アスレチック場の運動室,E
M-2,集会所等,アスレチック場のロビー,E
M-3,集会所等,アスレチック場の便所,E
M-4,集会所等,アスレチック場の喫煙室,E
M-5,集会所等,公式競技用スケート場,D
M-6,集会所等,公式競技用体育館,D
M-7,集会所等,一般競技用スケート場,D
M-8,集会所等,一般競技用体育館,D
M-9,集会所等,レクリエーション用スケート場,D
M-10,集会所等,レクリエーション用体育館,D
M-11,集会所等,競技場の客席,D
M-12,集会所等,競技場のロビー,D
M-13,集会所等,競技場の便所,D
M-14,集会所等,競技場の喫煙室,D
M-15,集会所等,公衆浴場の浴室,D
M-16,集会所等,公衆浴場の脱衣所,D
M-17,集会所等,公衆浴場の休憩室,D
M-18,集会所等,公衆浴場のロビー,D
M-19,集会所等,公衆浴場の便所,D
M-20,集会所等,公衆浴場の喫煙室,D
M-21,集会所等,映画館の客席,A
M-22,集会所等,映画館のロビー,A
M-23,集会所等,映画館の便所,A
M-24,集会所等,映画館の喫煙室,A
M-25,集会所等,図書館の図書室,E
M-26,集会所等,図書館のロビー,E
M-27,集会所等,図書館の便所,E
M-28,集会所等,図書館の喫煙室,E
M-29,集会所等,博物館の展示室,E
M-30,集会所等,博物館のロビー,E
M-31,集会所等,博物館の便所,E
M-32,集会所等,博物館の喫煙室,E
M-33,集会所等,劇場の楽屋,F
M-34,集会所等,劇場の舞台,F
M-35,集会所等,劇場の客席,F
M-36,集会所等,劇場のロビー,F
M-37,集会所等,劇場の便所,F
M-38,集会所等,劇場の喫煙室,F
M-39,集会所等,カラオケボックス,A
M-41,集会所等,ボーリング場,A
M-42,集会所等,ぱちんこ屋,A
M-43,集会所等,競馬場又は競輪場の客席,D
M-44,集会所等,競馬場又は競輪場の券売場,D
M-45,集会所等,競馬場又は競輪場の店舗,D
M-46,集会所等,競馬場又は競輪場のロビー,D
M-47,集会所等,競馬場又は競輪場の便所,D
M-48,集会所等,競馬場又は競輪場の喫煙室,D
M-49,集会所等,社寺の本殿,F
M-50,集会所等,社寺のロビー,F
M-51,集会所等,社寺の便所,F
M-52,集会所等,社寺の喫煙室,F
M-53,集会所等,厨房,A
M-54,集会所等,屋内駐車場,A
M-55,集会所等,機械室,A
M-56,集会所等,電気室,A
M-57,集会所等,湯沸室等,A
M-58,集会所等,食品庫等,A
M-59,集会所等,印刷室等,A
M-60,集会所等,廃棄物保管場所等,A
F-1,工場等,倉庫,A
F-2,工場等,屋外駐車場又は駐輪場,A
A-1,共同住宅,屋内廊下,A
A-2,共同住宅,ロビー,A
A-3,共同住宅,管理人室,A
A-4,共同住宅,集会室,A
A-5,共同住宅,屋外廊下,A
A-6,共同住宅,屋内駐車場,A
A-7,共同住宅,機械室,A
A-8,共同住宅,電気室,A
A-9,共同住宅,廃棄物保管場所等,A
